Date,Month,Day of Week,Place,Drink,Topping,Type 
2/25/2024,February,Sunday,Sunright,Oolong Milk Tea,Boba,Milk
3/3/2024,March,Sunday,Oh Bear Cafe,Mango Black Tea,Boba,Fruit
3/10/2024,March,Sunday,TP Tea,Boba Milk Tea,Boba,Milk
3/14/2024,March,Thursday,TP Tea,Boba Milk Tea,Boba,Milk
3/16/2024,March,Saturday,Teaspoon,House Milk Tea,Boba,Milk
3/17/2024,March,Sunday,Tpumps,"Passion Fruit, Mango, Peach Black Milk Tea",Boba,Milk
3/18/2024,March,Monday,Tea Era,Guava Cooler,Boba,Fruit
3/19/2024,March,Tuesday,Tpumps,"Strawberry, Tangerine, Pineapple Black Tea",Boba,Fruit
3/19/2024,March,Tuesday,Boba Guys,Strawberry Matcha Latte,Boba,Milk
3/21/2024,March,Thursday,Boba Guys,Strawberry Jasmine Fresca,None,Fruit
3/22/2024,March,Friday,ChiCha San Chen,Lemon Condensed Milk,Boba,Milk
3/23/2024,March,Saturday,Share Tea,Green Milk Tea,Boba,Milk
